V2	V(out)	V(n002)
1.770000000000000e+00	4.471851e+00	1.770000e+00
1.780000000000000e+00	4.463281e+00	1.780000e+00
1.790000000000000e+00	4.454582e+00	1.790000e+00
1.800000000000000e+00	4.445751e+00	1.800000e+00
1.810000000000000e+00	4.436785e+00	1.810000e+00
1.820000000000000e+00	4.427681e+00	1.820000e+00
1.830000000000000e+00	4.418436e+00	1.830000e+00
1.840000000000000e+00	4.409046e+00	1.840000e+00
1.850000000000000e+00	4.399509e+00	1.850000e+00
1.860000000000000e+00	4.389822e+00	1.860000e+00
1.870000000000000e+00	4.379980e+00	1.870000e+00
1.880000000000000e+00	4.369980e+00	1.880000e+00
1.890000000000000e+00	4.359818e+00	1.890000e+00
1.900000000000000e+00	4.349490e+00	1.900000e+00
1.910000000000000e+00	4.338991e+00	1.910000e+00
1.920000000000000e+00	4.328319e+00	1.920000e+00
1.930000000000000e+00	4.317467e+00	1.930000e+00
1.940000000000000e+00	4.306432e+00	1.940000e+00
1.950000000000000e+00	4.295208e+00	1.950000e+00
1.960000000000000e+00	4.283790e+00	1.960000e+00
1.970000000000000e+00	4.272172e+00	1.970000e+00
1.980000000000000e+00	4.260351e+00	1.980000e+00
1.990000000000000e+00	4.248318e+00	1.990000e+00
2.000000000000000e+00	4.236068e+00	2.000000e+00
2.010000000000000e+00	4.223594e+00	2.010000e+00
2.020000000000000e+00	4.210890e+00	2.020000e+00
2.030000000000000e+00	4.197948e+00	2.030000e+00
2.040000000000000e+00	4.184761e+00	2.040000e+00
2.050000000000000e+00	4.171320e+00	2.050000e+00
2.060000000000000e+00	4.157618e+00	2.060000e+00
2.070000000000000e+00	4.143644e+00	2.070000e+00
2.080000000000000e+00	4.129390e+00	2.080000e+00
2.090000000000000e+00	4.114845e+00	2.090000e+00
2.100000000000000e+00	4.100000e+00	2.100000e+00
2.110000000000000e+00	4.084842e+00	2.110000e+00
2.120000000000000e+00	4.069359e+00	2.120000e+00
2.130000000000000e+00	4.053538e+00	2.130000e+00
2.140000000000000e+00	4.037366e+00	2.140000e+00
2.150000000000000e+00	4.020829e+00	2.150000e+00
2.160000000000000e+00	4.003909e+00	2.160000e+00
2.170000000000000e+00	3.986590e+00	2.170000e+00
2.180000000000000e+00	3.968854e+00	2.180000e+00
2.190000000000000e+00	3.950681e+00	2.190000e+00
2.200000000000000e+00	3.932051e+00	2.200000e+00
2.210000000000000e+00	3.912939e+00	2.210000e+00
2.220000000000000e+00	3.893320e+00	2.220000e+00
2.230000000000000e+00	3.873168e+00	2.230000e+00
2.240000000000000e+00	3.852451e+00	2.240000e+00
2.250000000000000e+00	3.831139e+00	2.250000e+00
2.260000000000000e+00	3.809193e+00	2.260000e+00
2.270000000000000e+00	3.786575e+00	2.270000e+00
2.280000000000000e+00	3.763240e+00	2.280000e+00
2.290000000000000e+00	3.739138e+00	2.290000e+00
2.300000000000000e+00	3.714214e+00	2.300000e+00
2.310000000000000e+00	3.688405e+00	2.310000e+00
2.320000000000000e+00	3.661641e+00	2.320000e+00
2.330000000000000e+00	3.634200e+00	2.330000e+00
2.340000000000000e+00	3.606468e+00	2.340000e+00
2.350000000000000e+00	3.578415e+00	2.350000e+00
2.360000000000000e+00	3.550006e+00	2.360000e+00
2.370000000000000e+00	3.521207e+00	2.370000e+00
2.380000000000000e+00	3.491981e+00	2.380000e+00
2.390000000000000e+00	3.462289e+00	2.390000e+00
2.400000000000000e+00	3.432091e+00	2.400000e+00
2.410000000000000e+00	3.401343e+00	2.410000e+00
2.420000000000000e+00	3.369995e+00	2.420000e+00
2.430000000000000e+00	3.337998e+00	2.430000e+00
2.440000000000000e+00	3.305293e+00	2.440000e+00
2.450000000000000e+00	3.271819e+00	2.450000e+00
2.460000000000000e+00	3.237507e+00	2.460000e+00
2.470000000000000e+00	3.202278e+00	2.470000e+00
2.480000000000000e+00	3.166047e+00	2.480000e+00
2.490000000000000e+00	3.128716e+00	2.490000e+00
2.500000000000000e+00	3.090170e+00	2.500000e+00
2.510000000000000e+00	3.050282e+00	2.510000e+00
2.520000000000000e+00	3.008900e+00	2.520000e+00
2.530000000000000e+00	2.965847e+00	2.530000e+00
2.540000000000000e+00	2.920909e+00	2.540000e+00
2.550000000000000e+00	2.873830e+00	2.550000e+00
2.560000000000000e+00	2.824295e+00	2.560000e+00
2.570000000000000e+00	2.771906e+00	2.570000e+00
2.580000000000000e+00	2.716156e+00	2.580000e+00
2.590000000000000e+00	2.656372e+00	2.590000e+00
2.600000000000000e+00	2.591673e+00	2.600000e+00
2.610000000000000e+00	2.527490e+00	2.610000e+00
2.620000000000000e+00	2.467345e+00	2.620000e+00
2.630000000000000e+00	2.410705e+00	2.630000e+00
2.640000000000000e+00	2.357124e+00	2.640000e+00
2.650000000000000e+00	2.306246e+00	2.650000e+00
2.660000000000000e+00	2.257776e+00	2.660000e+00
2.670000000000000e+00	2.211470e+00	2.670000e+00
2.680000000000000e+00	2.167119e+00	2.680000e+00
2.690000000000000e+00	2.124547e+00	2.690000e+00
2.700000000000000e+00	2.083601e+00	2.700000e+00
2.710000000000000e+00	2.044150e+00	2.710000e+00
2.720000000000000e+00	2.006077e+00	2.720000e+00
2.730000000000000e+00	1.969282e+00	2.730000e+00
2.740000000000000e+00	1.933674e+00	2.740000e+00
2.750000000000000e+00	1.899174e+00	2.750000e+00
2.760000000000000e+00	1.865709e+00	2.760000e+00
2.770000000000000e+00	1.833215e+00	2.770000e+00
2.780000000000000e+00	1.801635e+00	2.780000e+00
2.790000000000000e+00	1.770916e+00	2.790000e+00
2.800000000000000e+00	1.741009e+00	2.800000e+00
2.810000000000000e+00	1.711872e+00	2.810000e+00
2.820000000000000e+00	1.683465e+00	2.820000e+00
2.830000000000000e+00	1.655751e+00	2.830000e+00
2.840000000000000e+00	1.628697e+00	2.840000e+00
2.850000000000000e+00	1.602271e+00	2.850000e+00
2.860000000000000e+00	1.576445e+00	2.860000e+00
2.870000000000000e+00	1.551193e+00	2.870000e+00
2.880000000000000e+00	1.526489e+00	2.880000e+00
2.890000000000000e+00	1.502311e+00	2.890000e+00
2.900000000000000e+00	1.478637e+00	2.900000e+00
2.910000000000000e+00	1.455448e+00	2.910000e+00
2.920000000000000e+00	1.432724e+00	2.920000e+00
2.930000000000000e+00	1.410448e+00	2.930000e+00
2.940000000000000e+00	1.388604e+00	2.940000e+00
2.950000000000000e+00	1.367176e+00	2.950000e+00
2.960000000000000e+00	1.346150e+00	2.960000e+00
2.970000000000000e+00	1.325511e+00	2.970000e+00
2.980000000000000e+00	1.305248e+00	2.980000e+00
2.990000000000000e+00	1.285347e+00	2.990000e+00
3.000000000000000e+00	1.265797e+00	3.000000e+00
3.010000000000000e+00	1.246588e+00	3.010000e+00
3.020000000000000e+00	1.227708e+00	3.020000e+00
3.030000000000000e+00	1.209148e+00	3.030000e+00
3.040000000000000e+00	1.190899e+00	3.040000e+00
3.050000000000000e+00	1.172951e+00	3.050000e+00
3.060000000000000e+00	1.155295e+00	3.060000e+00
3.070000000000000e+00	1.137925e+00	3.070000e+00
3.080000000000000e+00	1.120832e+00	3.080000e+00
3.090000000000000e+00	1.104009e+00	3.090000e+00
3.100000000000000e+00	1.087449e+00	3.100000e+00
3.110000000000000e+00	1.071144e+00	3.110000e+00
3.120000000000000e+00	1.055089e+00	3.120000e+00
3.130000000000000e+00	1.039278e+00	3.130000e+00
3.140000000000000e+00	1.023703e+00	3.140000e+00
3.150000000000000e+00	1.008361e+00	3.150000e+00
3.160000000000000e+00	9.932448e-01	3.160000e+00
3.170000000000000e+00	9.783497e-01	3.170000e+00
3.180000000000000e+00	9.636706e-01	3.180000e+00
3.190000000000000e+00	9.492028e-01	3.190000e+00
3.200000000000000e+00	9.349415e-01	3.200000e+00
3.210000000000000e+00	9.208822e-01	3.210000e+00
3.220000000000000e+00	9.070208e-01	3.220000e+00
3.230000000000000e+00	8.933530e-01	3.230000e+00
3.240000000000000e+00	8.798748e-01	3.240000e+00
3.250000000000000e+00	8.665824e-01	3.250000e+00
3.260000000000000e+00	8.534721e-01	3.260000e+00
3.270000000000000e+00	8.405401e-01	3.270000e+00
3.280000000000000e+00	8.277832e-01	3.280000e+00
3.290000000000000e+00	8.151978e-01	3.290000e+00
3.300000000000000e+00	8.027809e-01	3.300000e+00
3.310000000000000e+00	7.905291e-01	3.310000e+00
3.320000000000000e+00	7.784396e-01	3.320000e+00
3.330000000000000e+00	7.665094e-01	3.330000e+00
