time	V(a)	V(b)	V(out)	I(V1)
7.774609374999989e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.823437499999989e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.872265624999988e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.921093749999988e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.969921874999987e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.018749999999987e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.067578124999987e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.116406249999986e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.165234374999986e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.214062499999985e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.262890624999985e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.311718749999984e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.360546874999984e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.409374999999983e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.458203124999983e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.507031249999982e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.555859374999982e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.604687499999981e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.653515624999981e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.702343749999980e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.751171874999980e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.799999999999980e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
