Vin	V(vin)	V(vout)
3.910000000000000e+00	3.910000e+00	1.087258e-02
3.920000000000000e+00	3.920000e+00	1.028934e-02
3.930000000000000e+00	3.930000e+00	9.724035e-03
3.940000000000000e+00	3.940000e+00	9.176476e-03
3.950000000000000e+00	3.950000e+00	8.646497e-03
3.960000000000000e+00	3.960000e+00	8.133927e-03
3.970000000000000e+00	3.970000e+00	7.638603e-03
3.980000000000000e+00	3.980000e+00	7.160357e-03
3.990000000000000e+00	3.990000e+00	6.699029e-03
4.000000000000000e+00	4.000000e+00	6.254460e-03
4.010000000000000e+00	4.010000e+00	5.826491e-03
4.020000000000000e+00	4.020000e+00	5.414969e-03
4.030000000000000e+00	4.030000e+00	5.019739e-03
4.040000000000000e+00	4.040000e+00	4.640650e-03
4.050000000000000e+00	4.050000e+00	4.277555e-03
4.060000000000000e+00	4.060000e+00	3.930306e-03
4.070000000000000e+00	4.070000e+00	3.598757e-03
4.080000000000000e+00	4.080000e+00	3.282766e-03
4.090000000000000e+00	4.090000e+00	2.982192e-03
4.100000000000000e+00	4.100000e+00	2.696895e-03
4.110000000000000e+00	4.110000e+00	2.426738e-03
4.120000000000000e+00	4.120000e+00	2.171587e-03
4.130000000000000e+00	4.130000e+00	1.931305e-03
4.140000000000000e+00	4.140000e+00	1.705762e-03
4.150000000000000e+00	4.150000e+00	1.494828e-03
4.160000000000000e+00	4.160000e+00	1.298373e-03
4.170000000000000e+00	4.170000e+00	1.116270e-03
4.180000000000000e+00	4.180000e+00	9.483947e-04
4.190000000000000e+00	4.190000e+00	7.946222e-04
4.200000000000000e+00	4.200000e+00	6.548306e-04
4.210000000000000e+00	4.210000e+00	5.288991e-04
4.220000000000000e+00	4.220000e+00	4.167084e-04
4.230000000000000e+00	4.230000e+00	3.181408e-04
4.240000000000000e+00	4.240000e+00	2.330800e-04
4.250000000000000e+00	4.250000e+00	1.614111e-04
4.260000000000000e+00	4.260000e+00	1.030207e-04
4.270000000000000e+00	4.270000e+00	5.779679e-05
4.280000000000000e+00	4.280000e+00	2.562856e-05
4.290000000000000e+00	4.290000e+00	6.406688e-06
4.300000000000000e+00	4.300000e+00	2.314511e-08
4.310000000000000e+00	4.310000e+00	2.310065e-08
4.320000000000000e+00	4.320000e+00	2.304328e-08
4.330000000000000e+00	4.330000e+00	2.297980e-08
4.340000000000000e+00	4.340000e+00	2.291667e-08
4.350000000000001e+00	4.350000e+00	2.285388e-08
4.360000000000000e+00	4.360000e+00	2.279144e-08
4.370000000000000e+00	4.370000e+00	2.272934e-08
4.380000000000000e+00	4.380000e+00	2.266757e-08
4.390000000000000e+00	4.390000e+00	2.260614e-08
4.400000000000000e+00	4.400000e+00	2.254504e-08
4.410000000000000e+00	4.410000e+00	2.248428e-08
4.420000000000000e+00	4.420000e+00	2.242384e-08
4.430000000000000e+00	4.430000e+00	2.236372e-08
4.440000000000000e+00	4.440000e+00	2.230392e-08
4.450000000000000e+00	4.450000e+00	2.224444e-08
4.460000000000000e+00	4.460000e+00	2.218528e-08
4.470000000000000e+00	4.470000e+00	2.212644e-08
4.480000000000000e+00	4.480000e+00	2.206790e-08
4.490000000000000e+00	4.490000e+00	2.200967e-08
4.500000000000000e+00	4.500000e+00	2.195175e-08
4.510000000000000e+00	4.510000e+00	2.189414e-08
4.520000000000000e+00	4.520000e+00	2.183682e-08
4.530000000000000e+00	4.530000e+00	2.177981e-08
4.540000000000000e+00	4.540000e+00	2.172309e-08
4.550000000000000e+00	4.550000e+00	2.166667e-08
4.560000000000000e+00	4.560000e+00	2.161054e-08
4.570000000000000e+00	4.570000e+00	2.155469e-08
4.580000000000000e+00	4.580000e+00	2.149914e-08
4.590000000000000e+00	4.590000e+00	2.144387e-08
4.600000000000001e+00	4.600000e+00	2.138889e-08
4.610000000000000e+00	4.610000e+00	2.133419e-08
4.620000000000000e+00	4.620000e+00	2.127976e-08
4.630000000000000e+00	4.630000e+00	2.122562e-08
4.640000000000000e+00	4.640000e+00	2.117174e-08
4.650000000000000e+00	4.650000e+00	2.111814e-08
4.660000000000000e+00	4.660000e+00	2.106481e-08
