V2	V(a)	V(out)
3.620000000000000e+00	3.620000e+00	2.733601e-01
3.630000000000000e+00	3.630000e+00	2.684529e-01
3.640000000000000e+00	3.640000e+00	2.636116e-01
3.650000000000000e+00	3.650000e+00	2.588352e-01
3.660000000000000e+00	3.660000e+00	2.541229e-01
3.670000000000000e+00	3.670000e+00	2.494739e-01
3.680000000000000e+00	3.680000e+00	2.448874e-01
3.690000000000000e+00	3.690000e+00	2.403626e-01
3.700000000000000e+00	3.700000e+00	2.358986e-01
3.710000000000000e+00	3.710000e+00	2.314948e-01
3.720000000000000e+00	3.720000e+00	2.271504e-01
3.730000000000000e+00	3.730000e+00	2.228646e-01
3.740000000000000e+00	3.740000e+00	2.186368e-01
3.750000000000000e+00	3.750000e+00	2.144663e-01
3.760000000000000e+00	3.760000e+00	2.103523e-01
3.770000000000000e+00	3.770000e+00	2.062943e-01
3.780000000000000e+00	3.780000e+00	2.022914e-01
3.790000000000000e+00	3.790000e+00	1.983432e-01
3.800000000000000e+00	3.800000e+00	1.944489e-01
3.810000000000000e+00	3.810000e+00	1.906080e-01
3.820000000000000e+00	3.820000e+00	1.868198e-01
3.830000000000000e+00	3.830000e+00	1.830837e-01
3.840000000000000e+00	3.840000e+00	1.793992e-01
3.850000000000000e+00	3.850000e+00	1.757656e-01
3.860000000000000e+00	3.860000e+00	1.721824e-01
3.870000000000000e+00	3.870000e+00	1.686491e-01
3.880000000000000e+00	3.880000e+00	1.651651e-01
3.890000000000000e+00	3.890000e+00	1.617298e-01
3.900000000000000e+00	3.900000e+00	1.583428e-01
3.910000000000000e+00	3.910000e+00	1.550035e-01
3.920000000000000e+00	3.920000e+00	1.517115e-01
3.930000000000000e+00	3.930000e+00	1.484661e-01
3.940000000000000e+00	3.940000e+00	1.452670e-01
3.950000000000000e+00	3.950000e+00	1.421137e-01
3.960000000000000e+00	3.960000e+00	1.390056e-01
3.970000000000000e+00	3.970000e+00	1.359423e-01
3.980000000000000e+00	3.980000e+00	1.329234e-01
3.990000000000000e+00	3.990000e+00	1.299484e-01
4.000000000000000e+00	4.000000e+00	1.270169e-01
4.010000000000000e+00	4.010000e+00	1.241284e-01
4.020000000000000e+00	4.020000e+00	1.212825e-01
4.030000000000000e+00	4.030000e+00	1.184788e-01
4.040000000000000e+00	4.040000e+00	1.157168e-01
4.050000000000000e+00	4.050000e+00	1.129963e-01
4.060000000000000e+00	4.060000e+00	1.103167e-01
4.070000000000000e+00	4.070000e+00	1.076777e-01
4.080000000000000e+00	4.080000e+00	1.050788e-01
4.090000000000000e+00	4.090000e+00	1.025198e-01
4.100000000000000e+00	4.100000e+00	1.000002e-01
4.110000000000000e+00	4.110000e+00	9.751968e-02
4.120000000000000e+00	4.120000e+00	9.507785e-02
4.130000000000000e+00	4.130000e+00	9.267436e-02
4.140000000000000e+00	4.140000e+00	9.030886e-02
4.150000000000000e+00	4.150000e+00	8.798101e-02
4.160000000000000e+00	4.160000e+00	8.569045e-02
4.170000000000000e+00	4.170000e+00	8.343686e-02
4.180000000000000e+00	4.180000e+00	8.121990e-02
4.190000000000000e+00	4.190000e+00	7.903925e-02
4.200000000000000e+00	4.200000e+00	7.689458e-02
4.210000000000000e+00	4.210000e+00	7.478558e-02
4.220000000000000e+00	4.220000e+00	7.271194e-02
4.230000000000000e+00	4.230000e+00	7.067334e-02
4.240000000000000e+00	4.240000e+00	6.866948e-02
4.250000000000000e+00	4.250000e+00	6.670008e-02
4.260000000000000e+00	4.260000e+00	6.476481e-02
4.270000000000000e+00	4.270000e+00	6.286342e-02
4.280000000000000e+00	4.280000e+00	6.099559e-02
4.290000000000000e+00	4.290000e+00	5.916105e-02
4.300000000000000e+00	4.300000e+00	5.735952e-02
4.310000000000000e+00	4.310000e+00	5.559073e-02
4.320000000000000e+00	4.320000e+00	5.385441e-02
4.330000000000000e+00	4.330000e+00	5.215028e-02
4.340000000000000e+00	4.340000e+00	5.047809e-02
4.350000000000001e+00	4.350000e+00	4.883757e-02
4.360000000000000e+00	4.360000e+00	4.722848e-02
4.370000000000000e+00	4.370000e+00	4.565055e-02
4.380000000000000e+00	4.380000e+00	4.410353e-02
4.390000000000000e+00	4.390000e+00	4.258718e-02
4.400000000000000e+00	4.400000e+00	4.110126e-02
4.410000000000000e+00	4.410000e+00	3.964553e-02
4.420000000000000e+00	4.420000e+00	3.821975e-02
4.430000000000000e+00	4.430000e+00	3.682368e-02
4.440000000000000e+00	4.440000e+00	3.545710e-02
4.450000000000000e+00	4.450000e+00	3.411977e-02
4.460000000000000e+00	4.460000e+00	3.281148e-02
4.470000000000000e+00	4.470000e+00	3.153200e-02
4.480000000000000e+00	4.480000e+00	3.028111e-02
4.490000000000000e+00	4.490000e+00	2.905860e-02
4.500000000000000e+00	4.500000e+00	2.786425e-02
4.510000000000000e+00	4.510000e+00	2.669785e-02
4.520000000000000e+00	4.520000e+00	2.555919e-02
4.530000000000000e+00	4.530000e+00	2.444807e-02
4.540000000000000e+00	4.540000e+00	2.336429e-02
4.550000000000000e+00	4.550000e+00	2.230764e-02
4.560000000000000e+00	4.560000e+00	2.127792e-02
4.570000000000000e+00	4.570000e+00	2.027494e-02
4.580000000000000e+00	4.580000e+00	1.929851e-02
4.590000000000000e+00	4.590000e+00	1.834842e-02
4.600000000000001e+00	4.600000e+00	1.742451e-02
4.610000000000000e+00	4.610000e+00	1.652657e-02
4.620000000000000e+00	4.620000e+00	1.565443e-02
4.630000000000000e+00	4.630000e+00	1.480790e-02
4.640000000000000e+00	4.640000e+00	1.398680e-02
4.650000000000000e+00	4.650000e+00	1.319096e-02
4.660000000000000e+00	4.660000e+00	1.242019e-02
4.670000000000000e+00	4.670000e+00	1.167432e-02
4.680000000000000e+00	4.680000e+00	1.095319e-02
4.690000000000000e+00	4.690000e+00	1.025662e-02
4.700000000000000e+00	4.700000e+00	9.584444e-03
4.710000000000000e+00	4.710000e+00	8.936494e-03
4.720000000000000e+00	4.720000e+00	8.312607e-03
4.730000000000000e+00	4.730000e+00	7.712622e-03
4.740000000000000e+00	4.740000e+00	7.136377e-03
4.750000000000000e+00	4.750000e+00	6.583713e-03
4.760000000000000e+00	4.760000e+00	6.054473e-03
4.770000000000000e+00	4.770000e+00	5.548503e-03
4.780000000000000e+00	4.780000e+00	5.065648e-03
4.790000000000000e+00	4.790000e+00	4.605757e-03
4.800000000000000e+00	4.800000e+00	4.168679e-03
4.810000000000000e+00	4.810000e+00	3.754266e-03
4.820000000000000e+00	4.820000e+00	3.362371e-03
4.830000000000000e+00	4.830000e+00	2.992847e-03
4.840000000000000e+00	4.840000e+00	2.645553e-03
4.850000000000001e+00	4.850000e+00	2.320344e-03
4.860000000000000e+00	4.860000e+00	2.017081e-03
4.870000000000000e+00	4.870000e+00	1.735624e-03
4.880000000000000e+00	4.880000e+00	1.475834e-03
4.890000000000000e+00	4.890000e+00	1.237577e-03
4.900000000000000e+00	4.900000e+00	1.020716e-03
4.910000000000000e+00	4.910000e+00	8.251177e-04
4.920000000000000e+00	4.920000e+00	6.506506e-04
4.930000000000000e+00	4.930000e+00	4.971834e-04
4.940000000000000e+00	4.940000e+00	3.645868e-04
4.950000000000000e+00	4.950000e+00	2.527325e-04
4.960000000000000e+00	4.960000e+00	1.614936e-04
4.970000000000000e+00	4.970000e+00	9.074464e-05
4.980000000000000e+00	4.980000e+00	4.036126e-05
4.990000000000000e+00	4.990000e+00	1.022038e-05
5.000000000000000e+00	5.000000e+00	2.002632e-07
