V1	V(a)	V(out)
Step Information: Bval=0  (Step: 1/2)
4.700000000000000e+00	4.700000e+00	4.700000e+00
4.710000000000000e+00	4.710000e+00	4.710000e+00
4.720000000000000e+00	4.720000e+00	4.720000e+00
4.730000000000000e+00	4.730000e+00	4.730000e+00
4.740000000000000e+00	4.740000e+00	4.740000e+00
4.750000000000000e+00	4.750000e+00	4.750000e+00
4.760000000000000e+00	4.760000e+00	4.760000e+00
4.770000000000000e+00	4.770000e+00	4.770000e+00
4.780000000000000e+00	4.780000e+00	4.780000e+00
4.790000000000000e+00	4.790000e+00	4.790000e+00
4.800000000000000e+00	4.800000e+00	4.800000e+00
4.810000000000000e+00	4.810000e+00	4.810000e+00
4.820000000000000e+00	4.820000e+00	4.820000e+00
4.830000000000000e+00	4.830000e+00	4.830000e+00
4.840000000000000e+00	4.840000e+00	4.840000e+00
4.850000000000001e+00	4.850000e+00	4.850000e+00
4.860000000000000e+00	4.860000e+00	4.860000e+00
4.870000000000000e+00	4.870000e+00	4.870000e+00
4.880000000000000e+00	4.880000e+00	4.880000e+00
4.890000000000000e+00	4.890000e+00	4.890000e+00
4.900000000000000e+00	4.900000e+00	4.900000e+00
4.910000000000000e+00	4.910000e+00	4.910000e+00
4.920000000000000e+00	4.920000e+00	4.920000e+00
4.930000000000000e+00	4.930000e+00	4.930000e+00
4.940000000000000e+00	4.940000e+00	4.940000e+00
4.950000000000000e+00	4.950000e+00	4.950000e+00
4.960000000000000e+00	4.960000e+00	4.960000e+00
4.970000000000000e+00	4.970000e+00	4.970000e+00
4.980000000000000e+00	4.980000e+00	4.980000e+00
4.990000000000000e+00	4.990000e+00	4.990000e+00
5.000000000000000e+00	5.000000e+00	5.000000e+00
Step Information: Bval=5  (Step: 2/2)
0.000000000000000e+00	0.000000e+00	5.002941e+00
1.000000000000000e-02	1.000000e-02	5.000266e+00
2.000000000000000e-02	2.000000e-02	4.998588e+00
3.000000000000000e-02	3.000000e-02	4.998292e+00
4.000000000000000e-02	4.000000e-02	4.998744e+00
5.000000000000000e-02	5.000000e-02	4.998940e+00
6.000000000000000e-02	6.000000e-02	4.998916e+00
7.000000000000001e-02	7.000000e-02	4.998886e+00
8.000000000000000e-02	8.000000e-02	4.998809e+00
